,Video.publish.time,Clicks.per.end.screen.element.shown.(%),Comments.added,Shares,Dislikes,Likes,Average.percentage.viewed.(%),Average.view.duration,Views,Watch.time.(hours),Subscribers,Impressions,Impressions.click-through.rate.(%)
172,29/09/2019,8.06,400,208,1114,7674,33.12,0.056111111,893117,50121.2614,1489,3433368,16.75
173,07/06/2020,5.93,391,231,537,4448,29.36,0.101388889,440736,44785.3154,403,1788858,12.09
174,18/04/2020,8.43,385,103,313,3264,20.34,0.051944444,239977,12471.4751,219,1486551,9.41
175,02/01/2020,8.03,378,1245,2794,11518,32.25,0.068333333,2393995,164046.3469,3236,12047976,14.94
176,05/09/2019,1.93,361,261,1013,6921,27.89,0.078333333,843966,66243.8629,1059,3448896,14.41
177,15/02/2019,7.42,360,288,938,6179,33.21,0.106388889,789310,84091.955,1506,4302423,10.18
179,01/11/2019,9.41,291,543,1595,9086,36.8,0.065555556,1643660,108035.445,1784,7327124,15.01
180,19/08/2019,3.56,289,156,1544,4128,42.26,0.0425,628537,26785.0978,1012,2888521,14.4
181,31/08/2019,5.22,283,228,1070,4799,35.05,0.058888889,705917,41715.001,1215,3380178,14.22
182,11/08/2019,3.76,282,357,1448,7279,36.92,0.049722222,1036567,51565.264,1210,4751888,15.58
183,21/07/2020,8.67,267,90,257,3300,37.06,0.063055556,187624,11861.465,191,1236014,8.48
184,14/06/2020,5.55,250,87,254,2324,32.84,0.070555556,171614,12118.0598,152,1063500,7.77
185,09/04/2019,11.98,232,265,982,4891,30.48,0.051111111,974044,49816.6358,1301,3710764,18.88
186,21/08/2019,2.87,217,97,1198,3281,31.39,0.054444444,433656,23706.9206,778,1848398,14.26
187,31/07/2020,6.05,214,33,208,2640,25.86,0.043333333,119728,5212.6388,46,580635,9.56
188,29/01/2019,8.96,211,310,1471,6145,34.01,0.054166667,1203859,65402.5344,2285,5703567,15.13
189,25/07/2019,3.15,208,327,1063,7904,33.47,0.057777778,997578,57689.0404,1961,4053885,16.4
190,21/01/2019,7.35,206,197,930,6435,46.16,0.021944444,758736,16732.3858,1290,4028379,14.8
191,07/08/2019,6.97,204,352,1934,4330,40.6,0.026666667,1174916,31538.8643,1352,6129398,15.97
192,07/10/2019,10.85,193,134,520,4082,40.51,0.069166667,490094,33975.9748,424,2319784,12.8
193,12/06/2020,13.9,181,84,270,2688,33.36,0.080555556,240480,19413.0724,147,1322451,9.75
194,04/12/2019,4.01,170,139,472,2815,28.37,0.077222222,431922,33392.2193,459,2942744,8.75
195,27/06/2020,13.44,163,90,271,1954,32.88,0.071388889,209834,14989.3284,107,1204935,9.94
196,04/07/2019,3.04,153,190,637,3303,30.46,0.056666667,584326,33272.9922,564,2410666,16.32
197,18/01/2019,4.06,152,178,649,3511,21.76,0.040555556,672473,27318.0379,776,2522762,20.21
198,02/09/2019,2.69,145,145,729,3762,34.04,0.056944444,637181,36451.4489,610,2263405,17.24
199,23/04/2019,10.65,120,46,432,2039,45.36,0.040277778,225206,9080.1093,306,1041613,13.12
200,26/04/2019,4.22,99,43,189,1039,28.56,0.030833333,124092,3848.6947,317,1038423,8.53
201,30/06/2019,3.34,95,182,549,3013,28.9,0.05,528820,26537.0048,631,2722141,14.4
202,21/02/2019,10.01,64,94,126,1240,32.91,0.034722222,109168,3812.4336,164,432200,16.21
203,12/01/2019,8.93,60,67,370,2105,34.83,0.048055556,283865,13648.9092,534,1145444,16.61
204,03/04/2019,8.69,57,32,155,1157,28.62,0.05,124394,6249.7948,131,541755,11.61
205,05/02/2019,8.86,52,30,147,1197,38.62,0.063888889,153443,9811.0847,249,722744,12.11
206,21/03/2019,11.38,45,60,237,1690,24.37,0.048055556,185470,8939.3852,421,841688,11.82
207,12/03/2019,4.61,26,24,191,727,26.92,0.0625,90526,5659.5704,77,456748,11.61
208,27/02/2019,6.01,24,24,167,869,24.37,0.05,81454,4074.2663,153,536079,10.74
209,27/06/2019,3.16,16,24,80,482,21.92,0.037777778,83638,3166.9562,48,289862,14.94
210,09/08/2019,7.31,11,2,250,84,37,0.016944444,8500,145.0279,10,81342,6.33
211,19/04/2019,9.66,2,0,21,8,13.19,0.016944444,696,11.8853,1,18631,3.01
213,10/07/2019,1.79,1,3,17,85,14.41,0.027222222,9673,264.4239,7,83895,8.19
216,07/02/2019,10.06,0,1,17,15,22.95,0.030277778,2008,61.3197,3,14316,7.63
220,17/12/2018,4.69,0,0,3,53,32.02,0.026944444,1093,29.4593,0,12367,7.16
221,18/04/2019,3.44,0,1,24,11,20.07,0.033333333,1031,34.5424,1,19767,3.06
222,22/04/2019,6.15,0,0,22,7,15.48,0.028611111,804,23.0867,2,20907,2.4
223,22/02/2019,4.55,0,0,17,5,8.88,0.010277778,257,2.6821,0,13203,1.52
224,12/02/2019,2.91,0,0,15,23,18.52,0.035,2170,76.0112,5,19936,5.61
225,07/01/2019,0,0,0,0,0,57.07,0.08,2,0.1604,0,1438,0.14
227,04/03/2019,6.8,0,0,17,7,17.34,0.029444444,665,19.6618,1,15932,2.78
228,21/04/2019,3.05,0,0,15,8,31.16,0.043611111,1111,48.6644,4,18542,3.56
229,17/04/2019,3.56,0,0,23,6,20.32,0.033888889,849,28.8003,2,19724,2.89
230,06/07/2019,1.35,0,1,21,39,24.7,0.032222222,2910,94.0422,2,33058,4.95
231,14/03/2019,4.17,0,0,7,0,36.14,0.027777778,113,3.1421,0,10949,0.54
233,05/03/2019,4.88,0,0,21,4,9.93,0.008055556,448,3.61,0,14776,2.13
234,05/01/2019,10.53,0,0,18,27,30.75,0.041666667,1913,80.0703,4,12886,9.82
236,17/07/2019,0,0,0,20,7,9.94,0.016944444,398,6.757,0,19305,1.3
